category	subcategory	title
Category:Branches of biology	Category:Branches of botany	Thermonasty
Category:Branches of biology	Category:Branches of botany	Thigmomorphogenesis
Category:Branches of biology	Category:Branches of botany	Thigmonasty
Category:Branches of biology	Category:Branches of botany	Thigmotropism
Category:Branches of biology	Category:Branches of botany	Tissue hydration
Category:Branches of biology	Category:Branches of botany	Topophysis
Category:Branches of biology	Category:Branches of botany	Torulene
Category:Branches of biology	Category:Branches of botany	Tracheid
Category:Branches of biology	Category:Branches of botany	Transpiration
Category:Branches of biology	Category:Branches of botany	Transpiration stream
Category:Branches of biology	Category:Branches of botany	Trimorphism
Category:Branches of biology	Category:Branches of botany	Triose phosphate translocator
Category:Branches of biology	Category:Branches of botany	Unifacial cambium
Category:Branches of biology	Category:Branches of botany	Urticating hair
Category:Branches of biology	Category:Branches of botany	Vacuolar pathway
Category:Branches of biology	Category:Branches of botany	Variation potential
Category:Branches of biology	Category:Branches of botany	Variegation
Category:Branches of biology	Category:Branches of botany	Vascular bundle
Category:Branches of biology	Category:Branches of botany	Vascular cambium
Category:Branches of biology	Category:Branches of botany	Vascular tissue
Category:Branches of biology	Category:Branches of botany	Vegetative phase change
Category:Branches of biology	Category:Branches of botany	Vernalization
Category:Branches of biology	Category:Branches of botany	Water potential
Category:Branches of biology	Category:Branches of botany	Water-use efficiency
Category:Branches of biology	Category:Branches of botany	Wilting
Category:Branches of biology	Category:Branches of botany	Winter rest
Category:Branches of biology	Category:Branches of botany	Xenia (plants)
Category:Branches of biology	Category:Branches of botany	Xerochasy
Category:Branches of biology	Category:Branches of botany	Xylem
Category:Branches of biology	Category:Branches of botany	Plant anatomy
Category:Branches of biology	Category:Branches of botany	Abortive flower
Category:Branches of biology	Category:Branches of botany	Abscission
Category:Branches of biology	Category:Branches of botany	Acotyledon
Category:Branches of biology	Category:Branches of botany	Adnation
Category:Branches of biology	Category:Branches of botany	Annulus (botany)
Category:Branches of biology	Category:Branches of botany	Antheridium
Category:Branches of biology	Category:Branches of botany	Apoplast
Category:Branches of biology	Category:Branches of botany	Archegonium
Category:Branches of biology	Category:Branches of botany	Aril
Category:Branches of biology	Category:Branches of botany	Bast fibre
Category:Branches of biology	Category:Branches of botany	Biosequestration
Category:Branches of biology	Category:Branches of botany	Branch attachment
Category:Branches of biology	Category:Branches of botany	Branch collar
Category:Branches of biology	Category:Branches of botany	Bulliform cell
Category:Branches of biology	Category:Branches of botany	Cambium
Category:Branches of biology	Category:Branches of botany	Casparian strip
Category:Branches of biology	Category:Branches of botany	Caudex
Category:Branches of biology	Category:Branches of botany	Chalaza
Category:Branches of biology	Category:Branches of botany	Cladoptosis
Category:Branches of biology	Category:Branches of botany	Coleoptile
Category:Branches of biology	Category:Branches of botany	Coleorhiza
Category:Branches of biology	Category:Branches of botany	Columella (botany)
Category:Branches of biology	Category:Branches of botany	Complementary cells
Category:Branches of biology	Category:Branches of botany	Connation
Category:Branches of biology	Category:Branches of botany	Cork (material)
Category:Branches of biology	Category:Branches of botany	Cork cambium
Category:Branches of biology	Category:Branches of botany	Cortex (botany)
Category:Branches of biology	Category:Branches of botany	Cotyledon
Category:Branches of biology	Category:Branches of botany	Cutan (polymer)
Category:Branches of biology	Category:Branches of botany	Cutin
Category:Branches of biology	Category:Branches of botany	Cystolith
Category:Branches of biology	Category:Branches of botany	Desmotubule
Category:Branches of biology	Category:Branches of botany	EF-Tu receptor
Category:Branches of biology	Category:Branches of botany	Elater
Category:Branches of biology	Category:Branches of botany	Epicuticular wax
Category:Branches of biology	Category:Branches of botany	Epidermis (botany)
Category:Branches of biology	Category:Branches of botany	Exfoliation (botany)
Category:Branches of biology	Category:Branches of botany	Fascicle (botany)
Category:Branches of biology	Category:Branches of botany	Fern sports
Category:Branches of biology	Category:Branches of botany	Gametophyte
Category:Branches of biology	Category:Branches of botany	Gland (botany)
Category:Branches of biology	Category:Branches of botany	Globoid (botany)
Category:Branches of biology	Category:Branches of botany	Green leaf volatiles
Category:Branches of biology	Category:Branches of botany	Ground tissue
Category:Branches of biology	Category:Branches of botany	Hilum (biology)
Category:Branches of biology	Category:Branches of botany	Hydathode
Category:Branches of biology	Category:Branches of botany	Hypocotyl
Category:Branches of biology	Category:Branches of botany	Indumentum
Category:Branches of biology	Category:Branches of botany	Integument
Category:Branches of biology	Category:Branches of botany	Laticifer
Category:Branches of biology	Category:Branches of botany	Leaf
Category:Branches of biology	Category:Branches of botany	Leaf gap
Category:Branches of biology	Category:Branches of botany	Leaf plastochron index
Category:Branches of biology	Category:Branches of botany	Locule
Category:Branches of biology	Category:Branches of botany	Lodicule
Category:Branches of biology	Category:Branches of botany	Medullary ray (botany)
Category:Branches of biology	Category:Branches of botany	Meristem
Category:Branches of biology	Category:Branches of botany	Microphylls and megaphylls
Category:Branches of biology	Category:Branches of botany	Middle lamella
Category:Branches of biology	Category:Branches of botany	Mucigel
Category:Branches of biology	Category:Branches of botany	Nutshell
Category:Branches of biology	Category:Branches of botany	Offshoot (plant)
Category:Branches of biology	Category:Branches of botany	Oil body
Category:Branches of biology	Category:Branches of botany	Operculum (botany)
Category:Branches of biology	Category:Branches of botany	Ostiole
Category:Branches of biology	Category:Branches of botany	Ovule
Category:Branches of biology	Category:Branches of botany	Pachycaul
Category:Branches of biology	Category:Branches of botany	Peduncle (botany)
Category:Branches of biology	Category:Branches of botany	Perforate leaf
Category:Branches of biology	Category:Branches of botany	Perianth
Category:Branches of biology	Category:Branches of botany	Peristome
Category:Branches of biology	Category:Branches of botany	Phloem
Category:Branches of biology	Category:Branches of botany	Phyllochron
Category:Branches of biology	Category:Branches of botany	Phylloclade
Category:Branches of biology	Category:Branches of botany	Phytolith
Category:Branches of biology	Category:Branches of botany	Phytomer
Category:Branches of biology	Category:Branches of botany	Phytotelma
Category:Branches of biology	Category:Branches of botany	Pit (botany)
Category:Branches of biology	Category:Branches of botany	Pith
Category:Branches of biology	Category:Branches of botany	Plant cell
Category:Branches of biology	Category:Branches of botany	Plant cuticle
Category:Branches of biology	Category:Branches of botany	Plant secretory tissue
Category:Branches of biology	Category:Branches of botany	Plasmodesma
Category:Branches of biology	Category:Branches of botany	Platyclade
Category:Branches of biology	Category:Branches of botany	Pollen
Category:Branches of biology	Category:Branches of botany	Pollen-presenter
Category:Branches of biology	Category:Branches of botany	Pollinium
Category:Branches of biology	Category:Branches of botany	Pulvinus
Category:Branches of biology	Category:Branches of botany	Pyrena
Category:Branches of biology	Category:Branches of botany	Quantasome
Category:Branches of biology	Category:Branches of botany	Quiescent centre
Category:Branches of biology	Category:Branches of botany	Radicle
Category:Branches of biology	Category:Branches of botany	Ramification (botany)
Category:Branches of biology	Category:Branches of botany	Resin canal
Category:Branches of biology	Category:Branches of botany	Rhizoid
Category:Branches of biology	Category:Branches of botany	Rhizome
Category:Branches of biology	Category:Branches of botany	Root cap
Category:Branches of biology	Category:Branches of botany	Root hair
Category:Branches of biology	Category:Branches of botany	Sarcotesta
Category:Branches of biology	Category:Branches of botany	Sclereid
Category:Branches of biology	Category:Branches of botany	Secondary growth
Category:Branches of biology	Category:Branches of botany	Seed separator
Category:Branches of biology	Category:Branches of botany	Seta
Category:Branches of biology	Category:Branches of botany	Sieve tube element
Category:Branches of biology	Category:Branches of botany	Sorus
Category:Branches of biology	Category:Branches of botany	Specific leaf area
Category:Branches of biology	Category:Branches of botany	Sphaeroblast
Category:Branches of biology	Category:Branches of botany	Spongy tissue
Category:Branches of biology	Category:Branches of botany	Sporangium
Category:Branches of biology	Category:Branches of botany	Sporophyll
Category:Branches of biology	Category:Branches of botany	Spur (botany)
Category:Branches of biology	Category:Branches of botany	Spur (leaf)
Category:Branches of biology	Category:Branches of botany	Stamen
Category:Branches of biology	Category:Branches of botany	Staminode
Category:Branches of biology	Category:Branches of botany	Stele (biology)
Category:Branches of biology	Category:Branches of botany	Plant stem
Category:Branches of biology	Category:Branches of botany	Stipe (botany)
Category:Branches of biology	Category:Branches of botany	Stoma
Category:Branches of biology	Category:Branches of botany	Suberin
Category:Branches of biology	Category:Branches of botany	Substomatal cavity
Category:Branches of biology	Category:Branches of botany	Suspensor
Category:Branches of biology	Category:Branches of botany	Symplast
Category:Branches of biology	Category:Branches of botany	Tapetum (botany)
Category:Branches of biology	Category:Branches of botany	Theca
Category:Branches of biology	Category:Branches of botany	Thylakoid
Category:Branches of biology	Category:Branches of botany	Tracheid
Category:Branches of biology	Category:Branches of botany	Tree fork
Category:Branches of biology	Category:Branches of botany	Trichosclereid
Category:Branches of biology	Category:Branches of botany	Tricolpate
Category:Branches of biology	Category:Branches of botany	Tuber
Category:Branches of biology	Category:Branches of botany	Tylose
Category:Branches of biology	Category:Branches of botany	Tylosis (botany)
Category:Branches of biology	Category:Branches of botany	Unifacial cambium
Category:Branches of biology	Category:Branches of botany	Vacuole
Category:Branches of biology	Category:Branches of botany	Vascular bundle
Category:Branches of biology	Category:Branches of botany	Vascular cambium
Category:Branches of biology	Category:Branches of botany	Vascular tissue
Category:Branches of biology	Category:Branches of botany	Vessel element
Category:Branches of biology	Category:Branches of botany	Wall stress relaxation
Category:Branches of biology	Category:Branches of botany	Wood
Category:Branches of biology	Category:Branches of botany	Xylem
Category:Branches of biology	Category:Branches of botany	Bryology
Category:Branches of biology	Category:Branches of botany	American Bryological and Lichenological Society
Category:Branches of biology	Category:Branches of botany	British Bryological Society
Category:Branches of biology	Category:Branches of botany	International Association of Bryologists
Category:Branches of biology	Category:Branches of botany	Dendrologist
Category:Branches of biology	Category:Branches of botany	Woody plant
Category:Branches of biology	Category:Branches of botany	Cultural keystone species
Category:Branches of biology	Category:Branches of botany	Ethnomycology
Category:Branches of biology	Category:Branches of botany	Atomic gardening
Category:Branches of biology	Category:Branches of botany	Bif2 barren inflorescence2
Category:Branches of biology	Category:Branches of botany	Bioprospecting
Category:Branches of biology	Category:Branches of botany	Bioversity International
Category:Branches of biology	Category:Branches of botany	Chloroplast capture
Category:Branches of biology	Category:Branches of botany	Composite cross population
Category:Branches of biology	Category:Branches of botany	Doubled haploidy
Category:Branches of biology	Category:Branches of botany	European Forest Genetic Resources Programme
Category:Branches of biology	Category:Branches of botany	Plant geneticist
Category:Branches of biology	Category:Branches of botany	International Union for the Protection of New Varieties of Plants
Category:Branches of biology	Category:Branches of botany	JIC Germplasm Resources Unit
Category:Branches of biology	Category:Branches of botany	Knockout moss
Category:Branches of biology	Category:Branches of botany	New Breeding Techniques
Category:Branches of biology	Category:Branches of botany	Plant breeders' rights
Category:Branches of biology	Category:Branches of botany	Plant DNA C-values Database
Category:Branches of biology	Category:Branches of botany	Pomato
Category:Branches of biology	Category:Branches of botany	Plant transformation vector
Category:Branches of biology	Category:Branches of botany	Plant morphology
Category:Branches of biology	Category:Branches of botany	Abscission
Category:Branches of biology	Category:Branches of botany	Acarodomatia
Category:Branches of biology	Category:Branches of botany	Acotyledon
Category:Branches of biology	Category:Branches of botany	Aestivation (botany)
Category:Branches of biology	Category:Branches of botany	Arachnoid (botany)
Category:Branches of biology	Category:Branches of botany	Aril
Category:Branches of biology	Category:Branches of botany	Auricle (botany)
Category:Branches of biology	Category:Branches of botany	Awn (botany)
Category:Branches of biology	Category:Branches of botany	Axillary bud
Category:Branches of biology	Category:Branches of botany	Bark (botany)
Category:Branches of biology	Category:Branches of botany	Beltian body
Category:Branches of biology	Category:Branches of botany	Biosequestration
Category:Branches of biology	Category:Branches of botany	Branch attachment
Category:Branches of biology	Category:Branches of botany	Branch collar
Category:Branches of biology	Category:Branches of botany	Bud
Category:Branches of biology	Category:Branches of botany	Ornamental bulbous plant
Category:Branches of biology	Category:Branches of botany	Calyptra
Category:Branches of biology	Category:Branches of botany	Canopy seed bank
Category:Branches of biology	Category:Branches of botany	Catkin
Category:Branches of biology	Category:Branches of botany	Caudex
Category:Branches of biology	Category:Branches of botany	Cauliflory
Category:Branches of biology	Category:Branches of botany	Chalaza
Category:Branches of biology	Category:Branches of botany	Cladoptosis
Category:Branches of biology	Category:Branches of botany	Colleter (botany)
Category:Branches of biology	Category:Branches of botany	Cork (material)
Category:Branches of biology	Category:Branches of botany	Corymb
Category:Branches of biology	Category:Branches of botany	Cotyledon
Category:Branches of biology	Category:Branches of botany	Crown sprouting
Category:Branches of biology	Category:Branches of botany	Culm (botany)
Category:Branches of biology	Category:Branches of botany	Cushion plant
Category:Branches of biology	Category:Branches of botany	Cuticle
Category:Branches of biology	Category:Branches of botany	Cyclic flower
Category:Branches of biology	Category:Branches of botany	Decurrent
Category:Branches of biology	Category:Branches of botany	Dehiscence (botany)
Category:Branches of biology	Category:Branches of botany	Divaricate
Category:Branches of biology	Category:Branches of botany	Domatium
Category:Branches of biology	Category:Branches of botany	Ear (botany)
Category:Branches of biology	Category:Branches of botany	Enation
Category:Branches of biology	Category:Branches of botany	Endosperm
Category:Branches of biology	Category:Branches of botany	Epiphyte
Category:Branches of biology	Category:Branches of botany	Exfoliation (botany)
Category:Branches of biology	Category:Branches of botany	Fascicle (botany)
Category:Branches of biology	Category:Branches of botany	Fern sports
Category:Branches of biology	Category:Branches of botany	Forb
Category:Branches of biology	Category:Branches of botany	Gametophore
Category:Branches of biology	Category:Branches of botany	Gametophyte
Category:Branches of biology	Category:Branches of botany	Gemma (botany)
Category:Branches of biology	Category:Branches of botany	Graminoid
Category:Branches of biology	Category:Branches of botany	Groundcover
Category:Branches of biology	Category:Branches of botany	Gynophore
Category:Branches of biology	Category:Branches of botany	Habit (biology)
Category:Branches of biology	Category:Branches of botany	Hemiepiphyte
Category:Branches of biology	Category:Branches of botany	Herbaceous plant
Category:Branches of biology	Category:Branches of botany	Hibernaculum (botany)
Category:Branches of biology	Category:Branches of botany	Husk
Category:Branches of biology	Category:Branches of botany	Hygrochasy
Category:Branches of biology	Category:Branches of botany	Hypocotyl
Category:Branches of biology	Category:Branches of botany	Incubous
Category:Branches of biology	Category:Branches of botany	Lammas growth
Category:Branches of biology	Category:Branches of botany	Lateral shoot
Category:Branches of biology	Category:Branches of botany	Leaf
Category:Branches of biology	Category:Branches of botany	Leaf scar
Category:Branches of biology	Category:Branches of botany	Leaflet (botany)
Category:Branches of biology	Category:Branches of botany	Liana
Category:Branches of biology	Category:Branches of botany	Lignotuber
Category:Branches of biology	Category:Branches of botany	Lithophyte
Category:Branches of biology	Category:Branches of botany	Locule
Category:Branches of biology	Category:Branches of botany	Mallee (habit)
Category:Branches of biology	Category:Branches of botany	Monandrous
Category:Branches of biology	Category:Branches of botany	Obconic
Category:Branches of biology	Category:Branches of botany	Ochrea
Category:Branches of biology	Category:Branches of botany	Offshoot (plant)
Category:Branches of biology	Category:Branches of botany	Orbicule
Category:Branches of biology	Category:Branches of botany	Ovary (botany)
Category:Branches of biology	Category:Branches of botany	Ovule
Category:Branches of biology	Category:Branches of botany	Pachycaul
Category:Branches of biology	Category:Branches of botany	Parastichy
Category:Branches of biology	Category:Branches of botany	Pearl body
Category:Branches of biology	Category:Branches of botany	Pedicel (botany)
Category:Branches of biology	Category:Branches of botany	Peduncle (botany)
Category:Branches of biology	Category:Branches of botany	Perforate leaf
Category:Branches of biology	Category:Branches of botany	Pericycle
Category:Branches of biology	Category:Branches of botany	Phyllochron
Category:Branches of biology	Category:Branches of botany	Phylloclade
Category:Branches of biology	Category:Branches of botany	Phytolith
Category:Branches of biology	Category:Branches of botany	Picotee
Category:Branches of biology	Category:Branches of botany	Pith
Category:Branches of biology	Category:Branches of botany	Platyclade
Category:Branches of biology	Category:Branches of botany	Pollen
Category:Branches of biology	Category:Branches of botany	Protonema
Category:Branches of biology	Category:Branches of botany	Radicle
Category:Branches of biology	Category:Branches of botany	Ramification (botany)
Category:Branches of biology	Category:Branches of botany	Repulsion theory
Category:Branches of biology	Category:Branches of botany	Resprouter
Category:Branches of biology	Category:Branches of botany	Resupination
Category:Branches of biology	Category:Branches of botany	Rhizodermis
Category:Branches of biology	Category:Branches of botany	Scutellum (botany)
Category:Branches of biology	Category:Branches of botany	Serotiny
Category:Branches of biology	Category:Branches of botany	Sessility (botany)
Category:Branches of biology	Category:Branches of botany	Shrub
Category:Branches of biology	Category:Branches of botany	Sinus (botany)
Category:Branches of biology	Category:Branches of botany	Sporeling
Category:Branches of biology	Category:Branches of botany	Sporophyll
Category:Branches of biology	Category:Branches of botany	Sport (botany)
Category:Branches of biology	Category:Branches of botany	Spur (botany)
Category:Branches of biology	Category:Branches of botany	Spur (stem)
Category:Branches of biology	Category:Branches of botany	Stamen
Category:Branches of biology	Category:Branches of botany	Stele (biology)
Category:Branches of biology	Category:Branches of botany	Plant stem
Category:Branches of biology	Category:Branches of botany	Sterigma
Category:Branches of biology	Category:Branches of botany	Stipe (botany)
Category:Branches of biology	Category:Branches of botany	Subshrub
Category:Branches of biology	Category:Branches of botany	Terete
Category:Branches of biology	Category:Branches of botany	Thallus
Category:Branches of biology	Category:Branches of botany	Tiller (botany)
Category:Branches of biology	Category:Branches of botany	Tree
Category:Branches of biology	Category:Branches of botany	Tree fork
Category:Branches of biology	Category:Branches of botany	Tuber
Category:Branches of biology	Category:Branches of botany	Tubercle
Category:Branches of biology	Category:Branches of botany	Turion (botany)
Category:Branches of biology	Category:Branches of botany	Twig
Category:Branches of biology	Category:Branches of botany	Umbel
Category:Branches of biology	Category:Branches of botany	Velamen
Category:Branches of biology	Category:Branches of botany	Vine
Category:Branches of biology	Category:Branches of botany	Virgate (botany)
Category:Branches of biology	Category:Branches of botany	Water sprout
Category:Branches of biology	Category:Branches of botany	Whorl (botany)
