source	target
Atomic theory	Erwin Schrödinger
Atomic theory	Introduction to quantum mechanics
Ackermann function	Primitive recursive function
Ackermann function	Turing machine
Ackermann function	Primitive recursive function
Arithmetic function	P-adic order
Baruch Spinoza	Christiaan Huygens
Baruch Spinoza	Christiaan Huygens
Brain	Camillo Golgi
Bijection	Surjective function
Biochemistry	Protein biosynthesis
Biochemistry	RNA interference
Biochemistry	Protein
Biochemistry	Biomolecule
Biopolymer	Protein
Biopolymer	Semipermeable membrane
Butterfly effect	Henri Poincaré
Butterfly effect	Henri Poincaré
Butterfly effect	Stephen Wolfram
Borsuk–Ulam theorem	Degree of a continuous mapping
Brouwer fixed-point theorem	Henri Poincaré
Brouwer fixed-point theorem	Henri Poincaré
Brouwer fixed-point theorem	Banach fixed-point theorem
Brouwer fixed-point theorem	Henri Poincaré
Brouwer fixed-point theorem	Banach fixed-point theorem
Big Bang	Physical cosmology
Big Bang	Expansion of the universe
Big Bang	Aristotle
Big Bang	Roger Penrose
Big Bang	George F. R. Ellis
Big Bang	Alan Guth
Big Bang	Scale invariance
Big Bang	Cosmogony
Bipedalism	Charles Darwin
Cell (biology)	Vacuole
Cell (biology)	DNA damage (naturally occurring)
Cell (biology)	Vesicle (biology and chemistry)
Cell (biology)	Cork (material)
Base pair	RNA polymerase
BCS theory	London equations
BCS theory	Superconducting coherence length
Brownian motion	Second law of thermodynamics
Brownian motion	Brownian dynamics
Brownian motion	Complex system
Bacterial conjugation	Herbaceous plant
Bra–ket notation	Quantum superposition
Bra–ket notation	Measurement in quantum mechanics
Bra–ket notation	Linear subspace
Black hole	Roger Penrose
Black hole	Penrose–Hawking singularity theorems
Black hole	Large Hadron Collider
Black hole	Black-body radiation
Black hole	Black Hole Initiative
Binomial coefficient	Gaussian binomial coefficient
Binomial coefficient	Delannoy number
Binomial theorem	Stephen Wolfram
Boolean satisfiability problem	Unit propagation
Boolean satisfiability problem	Turing machine
Boolean satisfiability problem	Resolution (logic)
Body mass index	Body Shape Index
Body mass index	Relative Fat Mass
Body mass index	Corpulence index
Biosphere	Charles Darwin
Biosphere	Noosphere
Biosphere	Thomas Gold
Biological membrane	Semipermeable membrane
Bucket argument	General relativity
Bernoulli number	Bell number
Bernoulli number	Sums of powers
Zebrafish	ChIP-on-chip
Zebrafish	Histology
Cytoplasm	Semipermeable membrane
Colloid	Sol (colloid)
Cladistics	Molecular phylogenetics
Cladistics	Molecular phylogenetics
Physical cosmology	Roger Penrose
Consciousness	Artificial consciousness
Consciousness	Roger Penrose
Consciousness	Philosophy of mind
Continuum hypothesis	König's theorem (set theory)
Continuum hypothesis	Wacław Sierpiński
Continuum mechanics	Augustin-Louis Cauchy
Continuum mechanics	Newton's laws of motion
Continuum mechanics	Equation of state
Continuum mechanics	Movable cellular automaton
Computation	Turing machine
Cauchy sequence	Augustin-Louis Cauchy
Continuous function	Augustin-Louis Cauchy
Continuous function	Augustin-Louis Cauchy
Continuous function	Domain theory
Continuous function	Normal function
Curl (mathematics)	Chirality (mathematics)
Convention on Biological Diversity	Biological Diversity Act, 2002
Cell nucleus	Ernst Haeckel
Cell nucleus	RNA polymerase I
Cell nucleus	RNA polymerase
Contraction mapping	Banach fixed-point theorem
Cell wall	Epidermis (botany)
Cell wall	Casparian strip
Cell wall	N-Acetylglucosamine
Cell wall	N-Acetylglucosamine
Cell wall	Plant pathology
Cell wall	N-Acetylmuramic acid
Chromosome	Wilhelm Roux
Chromosome	Genetic counseling
Cotangent space	Quotient space (linear algebra)
Clade	Charles Darwin
Clade	Basal (phylogenetics)
Cofinality	König's theorem (set theory)
Citric acid cycle	ATP synthase
Citric acid cycle	Epithelial–mesenchymal transition
Carl Sagan	Thomas Gold
Carl Sagan	David Morrison (astrophysicist)
Carl Sagan	David Morrison (astrophysicist)
Cloning	Roslin Institute
Cloning	Clone (cell biology)
Cloning	Frozen zoo
Chromatin	RNA polymerase
Chromatin	RNA polymerase
Chromatin	Nucleosome
Chromatin	RNA polymerase
Chromatin	The Proteolysis Map
Condition number	Norm (mathematics)
Conservation law	Advection
Conservation law	Traffic flow
Control engineering	Lead–lag compensator
Control theory	Stability theory
Control theory	Lead–lag compensator
Control theory	Poincaré map
Control theory	Stability theory
Commutator	Moyal product
Commutator	Canonical commutation relation
Commutator	Poisson bracket
Cosmic microwave background	Spherical harmonics
Cosmic microwave background	Bremsstrahlung
Cosmic microwave background	Bremsstrahlung
Cold fusion	Frank Close
Cross section (physics)	Elementary particle
Cross section (physics)	Scattering amplitude
Casimir effect	Unruh effect
Crystallography	X-ray crystallography
Crystallography	Bravais lattice
Crystallography	X-ray crystallography
Crystallography	Crystal growth
Crystallography	Crystal optics
Crystallography	Crystallographic point group
Crystallography	Fixed points of isometry groups in Euclidean space
Crystallography	Point group
Crystallography	Quasicrystal
Crystallography	Space group
Crystallography	X-ray crystallography
Stellar corona	Supra-arcade downflows
Derivative	Linearization
Dual space	Reciprocal lattice
Diameter	Eratosthenes
Diameter	Jung's theorem
Disease	Cure
Disease	Plant pathology
David Hilbert	Erwin Schrödinger
Diamagnetism	Permeability (electromagnetism)
Diamagnetism	Bohr magneton
Dimension	Hamiltonian mechanics
Dimension	Ball (mathematics)
Dimension	Hausdorff dimension
Dimension	Local property
Dimension	Hausdorff dimension
Dimension	Three-dimensional space
Dimension	Henri Poincaré
Dimension	Large Hadron Collider
Dimension	Calabi–Yau manifold
Dimension	Integer
Darwinism	Charles Darwin
Darwinism	Lamarckism
Darwinism	Ernst Haeckel
Darwinism	Alfred Russel Wallace
Darwinism	Lamarckism
Darwinism	Alfred Russel Wallace
Dieting	Fasting
Diffeomorphism	Derivative
Diffeomorphism	Pushforward (differential)
Diffeomorphism	Lie group
Diffeomorphism	René Thom
Differential geometry	General relativity
Differential geometry	Hamiltonian mechanics
Differential geometry	Darboux's theorem
Differential geometry	Poincaré–Birkhoff theorem
Differential geometry	Henri Poincaré
Differential geometry	Lie algebroid
Differential geometry	Courant algebroid
Differential geometry	Lie group
Differential geometry	Hamiltonian mechanics
Differential geometry	Fisher information metric
Differential geometry	Abstract differential geometry
Differential geometry	Affine differential geometry
Dark matter	Henri Poincaré
Dark matter	Tensor–vector–scalar gravity
Dark matter	Entropic gravity
Dark matter	Flavour (particle physics)
Dark matter	Large Hadron Collider
Double-slit experiment	Richard Feynman
Double-slit experiment	Richard Feynman
Discrete Fourier transform	Sine wave
Dynamical system	Cliodynamics
Dynamical system	Henri Poincaré
Dynamical system	Poincaré–Birkhoff theorem
Dynamical system	Baker's map
Dynamical system	Double pendulum
Dynamical system	Poincaré map
Dynamical system	Hartman–Grobman theorem
Dynamical system	Bifurcation diagram
Dynamical system	Hamiltonian mechanics
Dynamical system	Meteorology
Dynamical system	Behavioral modeling
Dynamical system	Oscillation
Dolly (sheep)	Roslin Institute
Dolly (sheep)	Roslin Institute
Dolly (sheep)	Clone (cell biology)
Ernst Mayr	Charles Darwin
Ernst Mayr	Charles Darwin
Ernst Mayr	Niles Eldredge
Enzyme	Ribozyme
Enzyme	RNA polymerase
Equation	Inequality (mathematics)
Euclidean geometry	Three-dimensional space
Euclidean geometry	Sphere packing
Euclidean geometry	Lazare Carnot
Euclidean geometry	Angle bisector theorem
Ethology	Charles Darwin
Ethology	Charles Darwin
Ethology	W. D. Hamilton
Electron	Invariant mass
Electron	Hermann von Helmholtz
Electron	Wolfgang Pauli
Electron	Erwin Schrödinger
Electron	Dirac sea
Electron	Richard Feynman
Electron	Bohr magneton
Electron	Vacuum state
Electron	Bremsstrahlung
Electron	Compton scattering
Electron	Compton scattering
Electron	BCS theory
Electron	Bremsstrahlung
Electron	Reciprocal lattice
Electron	Linear particle accelerator
Electromagnetism	Henri Poincaré
Electromagnetism	Permeability (electromagnetism)
Electromagnetism	Electromagnetic wave equation
Extraterrestrial life	Hermann von Helmholtz
Extraterrestrial life	Circumstellar habitable zone
Extraterrestrial life	Giordano Bruno
Extraterrestrial life	Giordano Bruno
Electrochemistry	Josiah Willard Gibbs
Electrochemistry	Electron
Electrochemistry	Bioelectrochemistry
Electrochemistry	Electrochemical potential
Evolutionarily stable strategy	W. D. Hamilton
Evolutionarily stable strategy	Fitness landscape
Evolutionarily stable strategy	Geoff Parker
Ecosystem	Complex system
Ernst Haeckel	Charles Darwin
Ernst Haeckel	Charles Darwin
Ernst Haeckel	Lamarckism
Ernst Haeckel	Lamarckism
Ernst Haeckel	Charles Darwin
Ernst Haeckel	Lamarckism
Ernst Haeckel	Lamarckism
Endosymbiont	Protocell
Euclidean space	Lie group
Euclidean space	Erlangen program
Electron microscope	Electromagnetism
Electron microscope	X-ray crystallography
Electron microscope	Cryobiology
Electron microscope	Quantum microscopy
Entropy	Lazare Carnot
Entropy	Josiah Willard Gibbs
Entropy	Josiah Willard Gibbs
Entropy	Tsallis entropy
Entropy	Roger Penrose
Entropy	Configuration entropy
Endomembrane system	Vacuole
Endomembrane system	Spitzenkörper
Endomembrane system	RNA polymerase
Endomembrane system	Protein
Endomembrane system	Vacuole
Erwin Schrödinger	What Is Life?
Erwin Schrödinger	What Is Life?
Erwin Schrödinger	Wolfgang Pauli
Erwin Schrödinger	Hermann von Helmholtz
Erwin Schrödinger	What Is Life?
Endocytosis	Vesicle (biology and chemistry)
Endocytosis	Receptor (biochemistry)
Endocytosis	Receptor (biochemistry)
Endocytosis	Active transport
Enrico Fermi	Wolfgang Pauli
Enrico Fermi	X-ray crystallography
Enrico Fermi	Wolfgang Pauli
Enrico Fermi	Spin–orbit interaction
Embryo drawing	Ernst Haeckel
Embryo drawing	Ernst Haeckel
Embryo drawing	Wilhelm Roux
Embryo drawing	Ernst Haeckel
Eight queens puzzle	Permutation matrix
Frequency	Sine wave
Frequency	Spatial frequency
Felix Bloch	Erwin Schrödinger
Felix Bloch	Wolfgang Pauli
Felix Bloch	X-ray crystallography
Fractal	Hausdorff dimension
Fractal	Hausdorff dimension
Fractal	Hausdorff dimension
Fractal	Henri Poincaré
Fractal	Helge von Koch
Fractal	Wacław Sierpiński
Fractal	Hausdorff dimension
Fractal	Lichtenberg figure
Fractal	Cymatics
Fractal	Droste effect
Fractal	Feigenbaum function
Formal language	Begriffsschrift
Formal language	Turing machine
Formal language	Turing machine
Four color theorem	Graph coloring
Four color theorem	Graph coloring
First-order logic	Propositional calculus
First-order logic	Resolution (logic)
Fred Hoyle	Thomas Gold
Fred Hoyle	Thomas Gold
Fred Hoyle	Fine-tuned universe
Fred Hoyle	Thomas Gold
Fin	Origin of avian flight
Friction	Aristotle
Friction	Leonardo da Vinci
Friction	Richard Feynman
Friction	Aristotle
Elementary particle	Large Hadron Collider
Elementary particle	Large Hadron Collider
Elementary particle	Richard Feynman
Faster-than-light	General relativity
Faster-than-light	Faster-than-light neutrino anomaly
Francis Crick	Nucleic acid double helix
Francis Crick	Charles Darwin
Francis Crick	Electromagnetism
Francis Crick	Erwin Schrödinger
Francis Crick	X-ray crystallography
Francis Crick	Photo 51
Francis Crick	Photo 51
Francis Crick	X-ray crystallography
Francis Crick	Photo 51
Francis Crick	Photo 51
Francis Crick	Thomas H. Jukes
Fundamental frequency	Sine wave
Fundamental frequency	Oscillation
Fermion	Tony Skyrme
Fermi paradox	John D. Barrow
Fermi paradox	Circumstellar habitable zone
Fermi paradox	Circumstellar habitable zone
Feynman diagram	Richard Feynman
Feynman diagram	Elementary particle
Feynman diagram	Normal order
Feynman diagram	Path integral formulation
Feynman diagram	Propagator
Fourier analysis	Oscillation
Fourier analysis	X-ray crystallography
Fourier analysis	Poisson summation formula
Fourier analysis	Sine wave
Fick's laws of diffusion	Advection
Ferromagnetism	Curie temperature
Ferromagnetism	Curie temperature
Ferromagnetism	Curie temperature
General relativity	Physical cosmology
General relativity	Newton's laws of motion
General relativity	Newton's laws of motion
General relativity	Roger Penrose
General relativity	Unruh effect
General relativity	Path integral formulation
Gottfried Wilhelm Leibniz	Christiaan Huygens
Gottfried Wilhelm Leibniz	Seven Bridges of Königsberg
Galen	Aristotle
Galen	Aristotle
Galen	Aristotle
Galen	William Harvey
Genetic engineering	Gene targeting
Genetic engineering	Rudolf Jaenisch
Genetic engineering	Rudolf Jaenisch
Genetic engineering	Genetic screen
Genetic engineering	Library (biology)
Genetic engineering	Plant tissue culture
Genetic engineering	Clone (cell biology)
Genetic engineering	Pharming (genetics)
Genetic code	Messenger RNA
Genetic code	Alternative yeast nuclear code
Genetic code	Blepharisma nuclear code
Genetic code	Peritrich nuclear code
Graph theory	Seven Bridges of Königsberg
Graph theory	Augustin-Louis Cauchy
Graph theory	Crossing number (graph theory)
Graph theory	Kirchhoff's theorem
Graph theory	Dominating set
Graph theory	Cycle double cover
Graph theory	Graph coloring
Graph theory	Graph sandwich problem
Graph theory	Graph property
Graph theory	Spectral graph theory
Graph theory	Claude Berge
Gradient	Total derivative
Gel electrophoresis	Protein
Gel electrophoresis	Protein
Gel electrophoresis	Fast parallel proteolysis
Grand Unified Theory	Pati–Salam model
Grand Unified Theory	Spontaneous symmetry breaking
Grand Unified Theory	Pati–Salam model
Grand Unified Theory	Causal fermion system
Grand Unified Theory	Loop quantum gravity
Grand Unified Theory	Lie group
Grand Unified Theory	Pati–Salam model
Grand Unified Theory	Higgs sector
Glycolysis	Pasteur effect
Group velocity	Soliton
Group action	Lie group
Group action	Gain graph
G protein-coupled receptor	Protein biosynthesis
G protein-coupled receptor	Inflammation
G protein	G protein-coupled receptor
G protein	G protein-coupled receptor
G protein	G protein-coupled receptor
G protein	G protein-coupled receptor
G protein	G protein-coupled receptor
Gene therapy	Strimvelis
George Pólya	John Horton Conway
Giordano Bruno	Aristotle
Giordano Bruno	Aristotle
Giordano Bruno	Aristotle
Geometric mean	Log-normal distribution
Hormone	Peptide hormone
Hormone	G protein-coupled receptor
Histology	Epidermis (botany)
Histology	Marcello Malpighi
Histology	Frozen section procedure
Histology	Camillo Golgi
Homeomorphism	Henri Poincaré
Homeomorphism	Alexander's trick
Harmonic oscillator	Normal mode
Homeostasis	Receptor (biochemistry)
Homeostasis	Countercurrent exchange
Homeostasis	Osmotic pressure
Homeostasis	Osmotic pressure
Histone	Gene silencing
Histone	Nucleosome
Histone	PRMT4 pathway
Histone	The Proteolysis Map
Harmonic analysis	Lie group
Harmonic analysis	Harmonic (mathematics)
Hausdorff dimension	Surjective function
Hausdorff dimension	Fractal dimension
Hall effect	Electron hole
Hall effect	Electromigration
Hall effect	Electron hole
Hall effect	Electron hole
Hall effect	Eddy current
Hamiltonian (quantum mechanics)	Hamiltonian mechanics
Hamiltonian (quantum mechanics)	Hamiltonian mechanics
Hamiltonian (quantum mechanics)	Pauli matrices
Hamiltonian (quantum mechanics)	Degenerate energy levels
Hamiltonian (quantum mechanics)	Hamiltonian mechanics
Hamiltonian (quantum mechanics)	Hamiltonian mechanics
Hamiltonian (quantum mechanics)	Bra–ket notation
Hamiltonian (quantum mechanics)	Linear algebra
Warm-blooded	Ectotherm
Warm-blooded	Ectotherm
Isaac Newton	Newton's laws of motion
Isaac Newton	Aristotle
Isaac Newton	Augustin-Jean Fresnel
Isaac Newton	Christiaan Huygens
Isaac Newton	Projective plane
Inertial frame of reference	Newton's laws of motion
Inertial frame of reference	Newton's laws of motion
Isotropy	Elementary particle
Isotropy	Isotropic manifold
Isotropy	Hamiltonian mechanics
Isotropy	Thermal expansion
Isotropy	Electromagnetism
Idempotence	Natural number
Idempotence	Interior (topology)
Idempotence	Projection (linear algebra)
Idempotence	Closure operator
Iterative method	Algorithm
Series (mathematics)	Alternating series
Ion channel	X-ray crystallography
Intron	Untranslated region
Intron	RNA editing
Intron	Ribozyme
Intron	DNA damage (naturally occurring)
Intron	Outron
Johannes Kepler	Aristotle
Johannes Kepler	Christiaan Huygens
Johannes Kepler	Wolfgang Pauli
Johannes Kepler	Wolfgang Pauli
John Horton Conway	Conway's Game of Life
John Horton Conway	Conway's Game of Life
John Horton Conway	Conway's Game of Life
Kolmogorov–Arnold–Moser theorem	Quasiperiodic motion
Kolmogorov–Arnold–Moser theorem	Arnold diffusion
Kaluza–Klein theory	Elementary particle
Kaluza–Klein theory	Lie group
Kaluza–Klein theory	Lie group
Kaluza–Klein theory	Large Hadron Collider
Linnaean taxonomy	Aristotle
Leonhard Euler	Seven Bridges of Königsberg
Leonhard Euler	Augustin-Louis Cauchy
Leonhard Euler	Christiaan Huygens
Lie group	Erlangen program
Lie group	Pushforward (differential)
Lie group	Surjective function
Lie group	Henri Poincaré
Lie group	Lie algebra extension
Lie group	Virasoro algebra
Lie group	Donaldson theory
Language center	Positron emission tomography
Leonardo da Vinci	Luca Pacioli
Leonardo da Vinci	Aristotle
Leonardo da Vinci	Luca Pacioli
Leonardo da Vinci	Luca Pacioli
Linear map	Derivative
Linear map	Projection (linear algebra)
Linear map	Linear subspace
Lysosome	Vesicle (biology and chemistry)
Lysosome	Mutation
Propositional calculus	Intuitionistic logic
Propositional calculus	Intuitionistic logic
Body relative direction	Rotation
Body relative direction	Windward and leeward
Lambda calculus	Turing machine
Lambda calculus	Turing machine
Lambda calculus	Domain theory
Lambda calculus	Domain theory
Lorentz transformation	Event (relativity)
Lorentz transformation	Event (relativity)
Lorentz transformation	Michelson–Morley experiment
Lorentz transformation	Henri Poincaré
Lorentz transformation	Event (relativity)
Lorentz transformation	Lie group
Lorentz transformation	Wigner rotation
Lorentz transformation	Wigner rotation
Lorentz transformation	Wigner rotation
Linear algebra	Norm (mathematics)
Luca Pacioli	Leonardo da Vinci
Luca Pacioli	Leonardo da Vinci
Luca Pacioli	Leonardo da Vinci
Laplace transform	Derivative
Laplace transform	Laplace–Carson transform
Meiosis	Genetic recombination
Meiosis	Spindle apparatus
Mean	Neuman–Sándor mean
Mind	Brain
Mind	Aristotle
Mind	Aristotle
Group (mathematics)	Lie group
Group (mathematics)	Erlangen program
Group (mathematics)	Lie group
Group (mathematics)	Henri Poincaré
Group (mathematics)	Symmetry in mathematics
Group (mathematics)	Curie temperature
Group (mathematics)	Rotation matrix
Group (mathematics)	Rotation
Microevolution	Population genetics
Microevolution	Mutation
Microevolution	Charles Darwin
Microevolution	Theodosius Dobzhansky
Mandelbrot set	Orbit (dynamics)
Mandelbrot set	Bifurcation diagram
Mandelbrot set	Hausdorff dimension
Mandelbrot set	Hausdorff dimension
Mandelbrot set	Farey sequence
Minimax	John Horton Conway
Molecular orbital	Linear combination of atomic orbitals
Molecular orbital	Orbital overlap
Molecular orbital	X-ray photoelectron spectroscopy
Microelectromechanical systems	Richard Feynman
Mutation	DNA damage (naturally occurring)
Mutation	Depurination
Mutation	Messenger RNA
Mutation	Replication timing quantitative trait loci
Mutation	Charles Darwin
Mutation	Lamarckism
Maxwell's equations	Stokes' theorem
Maxwell's equations	Electric displacement field
Maxwell's equations	Jefimenko's equations
Maxwell's equations	Gauge fixing
Maxwell's equations	Henri Poincaré
Maxwell's equations	Henri Poincaré
Maxwell's equations	Henri Poincaré
Metastability	Degenerate energy levels
Max Planck	Hermann von Helmholtz
Max Planck	Josiah Willard Gibbs
Max Planck	Erwin Schrödinger
Max Planck	Hermann von Helmholtz
Max Planck	Christiaan Huygens
Max Planck	Wolfgang Pauli
Max Planck	Erwin Schrödinger
Meteorology	Aristotle
Meteorology	Theophrastus
Meteorology	Aristotle
Marine biology	Marine ecosystem
Marine biology	Aristotle
Marine biology	Charles Darwin
Marine biology	Zooplankton
Marine biology	Large marine ecosystem
Messenger RNA	RNA polymerase
Messenger RNA	RNA polymerase
Messenger RNA	RNA polymerase
Messenger RNA	RNA editing
Messenger RNA	P-bodies
Messenger RNA	Semipermeable membrane
Mutagen	Genetic recombination
Mutagen	Mutation
Marcello Malpighi	William Harvey
Meconium	Aristotle
Murray Gell-Mann	Richard Feynman
Murray Gell-Mann	Flavour (particle physics)
Murray Gell-Mann	Stephen Wolfram
Magnetosphere	Thomas Gold
Microtubule	Vesicle (biology and chemistry)
Microtubule	Spindle apparatus
Microtubule	Marc Kirschner
Mathematical formulation of quantum mechanics	Old quantum theory
Mathematical formulation of quantum mechanics	Erwin Schrödinger
Mathematical formulation of quantum mechanics	Heisenberg picture
Mathematical formulation of quantum mechanics	Poisson bracket
Mathematical formulation of quantum mechanics	The Principles of Quantum Mechanics
Mathematical formulation of quantum mechanics	Path integral formulation
Mathematical formulation of quantum mechanics	Wightman axioms
Mathematical formulation of quantum mechanics	Quantum logic
Mathematical formulation of quantum mechanics	Heisenberg picture
Mathematical formulation of quantum mechanics	Poisson bracket
Mathematical formulation of quantum mechanics	Stone–von Neumann theorem
Mathematical formulation of quantum mechanics	Dirac bracket
Mathematical formulation of quantum mechanics	Compton scattering
Multiplication	Elementary arithmetic
Multiplication	Natural number
Multiplication	Binary multiplier
Multiverse	Erwin Schrödinger
Multiverse	Alan Guth
Multiverse	Roger Penrose
Multiverse	George F. R. Ellis
Multiverse	Richard Feynman
Multiverse	Undecidable problem
Multiverse	Calabi–Yau manifold
Multiverse	Mathematical universe hypothesis
Multiverse	Physical cosmology
Multiverse	Fine-tuned universe
Multiverse	Carbon chauvinism
Multiverse	Cosmogony
Multiverse	Measure problem (cosmology)
Möbius inversion formula	Farey sequence
Marsh gas	Soil crust
Natural selection	Charles Darwin
Natural selection	Genetic diversity
Natural selection	Alfred Russel Wallace
Natural selection	Aristotle
Natural selection	Lamarckism
Natural selection	Alfred Russel Wallace
Natural selection	Theodosius Dobzhansky
Natural selection	W. D. Hamilton
Natural selection	Insular biogeography
Natural selection	Infanticide (zoology)
Natural selection	Photoperiodism
Natural selection	Background selection
Natural selection	Wilhelm Roux
Natural number	Henri Poincaré
Neutrino	Wolfgang Pauli
Neutrino	Sudbury Neutrino Observatory
Neutrino	Sudbury Neutrino Observatory
Neutrino	Sudbury Neutrino Observatory
Neutrino	Sudbury Neutrino Observatory
Nucleic acid	Molecular Structure of Nucleic Acids: A Structure for Deoxyribose Nucleic Acid
Nucleic acid	Nucleic acid double helix
Nucleic acid	Messenger RNA
Numerical analysis	Linearization
Numerical analysis	Simpson's rule
Artificial neural network	Neuroplasticity
Nuclear fusion	Bremsstrahlung
Nonstandard analysis	Augustin-Louis Cauchy
Nonstandard analysis	Nonstandard calculus
Nonstandard analysis	Hyperreal number
Nonlinear optics	Electric susceptibility
Nonlinear optics	Electromagnetic wave equation
Nonlinear optics	Electromagnetic wave equation
Neurotransmitter	Receptor (biochemistry)
Neurotransmitter	Depolarization
Neurotransmitter	Neurotransmission
Neurotransmitter	Histology
Neurotransmitter	Heme
Neurotransmitter	G protein-coupled receptor
Nim	Nimber
Nim	Star (game theory)
Nitrogen fixation	Nitrogen fixation package
Organelle	ATP synthase
Organelle	CoRR hypothesis
Recapitulation theory	Ernst Haeckel
Recapitulation theory	Lamarckism
Recapitulation theory	Ernst Haeckel
Recapitulation theory	Lamarckism
Recapitulation theory	Charles Darwin
Optics	Aristotle
Optics	Christiaan Huygens
Optics	Augustin-Jean Fresnel
Optics	Diffraction topography
Optics	Compton scattering
Optics	Normal lens
Oscillation	Christiaan Huygens
Oscillation	Double pendulum
Oscillation	Neural oscillation
Oscillation	Oscillating gene
Oscillation	Neural oscillation
Oscillation	Squegging
Oxidative phosphorylation	ATP synthase
Oxidative phosphorylation	ATP synthase
Oxidative phosphorylation	Glycolysis
Prion	Protein
Ploidy	Ensembl Genomes
Photon	Christiaan Huygens
Photon	Augustin-Jean Fresnel
Photon	Compton scattering
Photon	Compton scattering
Photon	Wolfgang Pauli
Photon	Static forces and virtual-particle exchange
Pangenesis	Lamarckism
Pangenesis	Charles Darwin
Pangenesis	Lamarckism
Pangenesis	Lamarckism
Pangenesis	Lamarckism
Pangenesis	Lamarckism
Partial function	Surjective function
Photoelectric effect	Compton scattering
Pi	Richard Feynman
Pi	Stone–von Neumann theorem
Pi	Poisson summation formula
Pi	Stone–von Neumann theorem
Pi	Christiaan Huygens
Photography	Aristotle
Photography	Leonardo da Vinci
Pressure	Blood pressure
Pressure	Blood pressure
Protein	X-ray crystallography
Protein	X-ray crystallography
Protein	RNA polymerase
Protein	Protein quinary structure
Protein	Receptor (biochemistry)
Protein	Semipermeable membrane
Protein	X-ray crystallography
Protein	X-ray crystallography
Polymerase chain reaction	DNA profiling
Polymerase chain reaction	Sequence-tagged site
Polymerase chain reaction	Site-directed mutagenesis
Polymerase chain reaction	Single-nucleotide polymorphism
Polymerase chain reaction	Polony (biology)
Pyrimidine	Transition (genetics)
Prime number	Eratosthenes
Prime number	Furstenberg's proof of the infinitude of primes
Panspermia	Hermann von Helmholtz
Panspermia	Analysis
Panspermia	Thomas Gold
Panspermia	Spore
Paramagnetism	Curie temperature
Paramagnetism	Free particle
Paramagnetism	Bohr magneton
Paramagnetism	Bohr magneton
Paramagnetism	Wolfgang Pauli
Phrenology	Franz Joseph Gall
Phrenology	Franz Joseph Gall
Phrenology	Franz Joseph Gall
Phrenology	Johann Spurzheim
Poincaré conjecture	Henri Poincaré
Poincaré conjecture	Closed manifold
Poincaré conjecture	Henri Poincaré
Phylogenetics	Ernst Haeckel
Phylogenetics	Aristotle
Phylogenetics	Ernst Haeckel
